base,target,top0,top1,top2,top3,top4,k_order,k_score
randomize__randomization,condense__condensation,randomize__randomization,engage__engagement,achieve__achievement,modernize__modernization,customize__customization,,
prepare__preparation,imagine__imagination,prepare__preparation,stabilize__stabilization,engage__engagement,adjust__adjustment,improvize__improvization,,
expire__expiration,standardize__standardization,expire__expiration,finish__end,continue__continuation,detach__detachment,displace__displacement,,
utilize__utilization,authorize__authorization,utilize__utilization,enjoy__enjoyment,customize__customization,develop__development,standardize__standardization,,
condense__condensation,inspire__inspiration,condense__condensation,perspire__perspiration,degrade__degradation,develop__development,happen__happening,,
inspire__inspiration,accuse__accusation,inspire__inspiration,illumine__illumination,enlighten__enlightenment,amuse__amusement,fulfill__fulfillment,,
observe__observation,inspire__inspiration,observe__observation,visualize__visualization,determine__determination,explore__exploration,improvize__improvization,,
occupy__occupation,admire__admiration,occupy__occupation,colonize__colonization,explore__exploration,privatize__privatization,engage__engagement,,
examine__examination,specialize__specialization,examine__examination,compute__computation,advertise__advertisement,announce__announcement,assess__assessment,,
allege__allegation,install__installation,allege__allegation,accuse__accusation,declare__declaration,require__requirement,acknowledge__acknowledgement,,
civilize__civilization,declare__declaration,civilize__civilization,enlighten__enlightenment,globalize__globalization,fulfill__fulfillment,fulfil__fulfilment,,
uniting__united,providing__provided,uniting__united,containing__contained,unite__united,generating__generated,deciding__decided,,
following__followed,replacing__replaced,following__followed,follow__followed,follows__followed,attending__attended,asking__asked,,
describing__described,involving__involved,describing__described,implementing__implemented,proposing__proposed,introducing__introduced,describe__described,,
telling__told,teaching__taught,telling__told,tell__told,tells__told,proposing__proposed,performing__performed,,
publishing__published,establishing__established,publishing__published,publish__published,feeding__fed,marrying__married,mend__repaired,,
introducing__introduced,marrying__married,introducing__introduced,introduce__introduced,describing__described,attending__attended,allowing__allowed,,
improving__improved,asking__asked,improving__improved,improve__improved,reducing__reduced,enhancing__enhanced,develop__developed,,
announcing__announced,receiving__received,announcing__announced,playing__played,performing__performed,selling__sold,proposing__proposed,,
creating__created,asking__asked,creating__created,create__created,managing__managed,deciding__decided,generating__generated,,
continuing__continued,establishing__established,continuing__continued,continues__continued,continue__continued,generating__generated,improving__improved,,
considering__considered,representing__represented,considering__considered,deciding__decided,moving__moved,generating__generated,consider__considered,,
allowing__allowed,continuing__continued,allowing__allowed,including__included,deciding__decided,attending__attended,introducing__introduced,,
hearing__heard,sending__sent,hearing__heard,hear__heard,hears__heard,hearing__hears,considering__considered,,
agreeing__agreed,establishing__established,agreeing__agreed,agree__agreed,agrees__agreed,considering__considered,predicting__predicted,,
sending__sent,creating__created,sending__sent,send__sent,spending__spent,sends__sent,selling__sold,,
performing__performed,appearing__appeared,performing__performed,playing__played,proposing__proposed,perform__performed,announcing__announced,,
attending__attended,appointing__appointed,attending__attended,listening__listened,moving__moved,attend__attended,generating__generated,,
expecting__expected,adding__added,expecting__expected,expect__expected,predicting__predicted,expects__expected,considering__considered,,
failing__failed,following__followed,failing__failed,fails__failed,losing__lost,lose__lost,atrophy__withered,,
involving__involved,marrying__married,involving__involved,involve__involved,involves__involved,tasty__delicious,afford__affordable,,
providing__provided,proposing__proposed,providing__provided,provide__provided,attending__attended,provides__provided,moving__moved,,
representing__represented,involving__involved,representing__represented,containing__contained,managing__managed,creating__created,represents__represented,,
replacing__replaced,remaining__remained,replacing__replaced,replaces__replaced,replace__replaced,creating__created,generating__generated,,
reducing__reduced,including__included,reducing__reduced,adding__added,enhancing__enhanced,improving__improved,reduce__reduced,,
relating__related,expecting__expected,relating__related,including__included,relate__related,enhancing__enhanced,considering__considered,,
adding__added,considering__considered,adding__added,reducing__reduced,add__added,enhancing__enhanced,moving__moved,,
applying__applied,considering__considered,applying__applied,apply__applied,proposing__proposed,implementing__implemented,sending__sent,,
marrying__married,telling__told,marrying__married,marry__married,allowing__allowed,paying__paid,feeding__fed,,
teaching__taught,replacing__replaced,teaching__taught,implementing__implemented,telling__told,applying__applied,tell__told,,
containing__contained,proposing__proposed,containing__contained,uniting__united,representing__represented,including__included,contains__contained,,
locating__located,introducing__introduced,locating__located,locate__located,allowing__allowed,deciding__decided,moving__moved,,
deciding__decided,telling__told,deciding__decided,considering__considered,generating__generated,allowing__allowed,paying__paid,,
existing__existed,involving__involved,existing__existed,appearing__appeared,appears__appeared,appear__appeared,exist__exists,,
managing__managed,marrying__married,managing__managed,manage__managed,creating__created,representing__represented,appointing__appointed,,
understanding__understood,adding__added,understanding__understood,understand__understood,achieve__achieved,understand__understandable,decide__decided,,
including__included,describing__described,including__included,relating__related,allowing__allowed,include__included,adding__added,,
becoming__became,appointing__appointed,becoming__became,becoming__becomes,become__became,become__becomes,becomes__became,,
appearing__appeared,deciding__decided,appearing__appeared,appear__appeared,existing__existed,appears__appeared,occurs__occurred,,
suffering__suffered,operating__operated,suffering__suffered,dancing__danced,walking__walked,playing__played,considers__considered,,
proposing__proposed,establishing__established,proposing__proposed,performing__performed,telling__told,describing__described,applying__applied,,
asking__asked,marrying__married,asking__asked,ask__asked,asks__asked,proposing__proposed,attending__attended,,
spending__spent,introducing__introduced,spending__spent,spend__spent,spends__spent,sending__sent,generating__generated,,
establishing__established,losing__lost,establishing__established,establish__established,establishes__established,implementing__implemented,establish__establishment,,
remaining__remained,failing__failed,remaining__remained,remain__remained,remains__remained,seem__seemed,seeming__seems,,
receiving__received,appointing__appointed,receiving__received,receive__received,generating__generated,attending__attended,creating__created,,
maintain__maintaining,involve__involving,maintain__maintaining,create__creating,manage__managing,generate__generating,consider__considering,,
develop__developing,attend__attending,develop__developing,generate__generating,create__creating,move__moving,learn__learning,,
receive__receiving,promote__promoting,receive__receiving,discover__discovering,believe__believing,predict__predicting,see__seeing,,
teach__teaching,receive__receiving,teach__teaching,tell__telling,apply__applying,promote__promoting,manage__managing,,
become__becoming,teach__teaching,become__becoming,develop__developing,discover__discovering,appear__appearing,create__creating,,
allow__allowing,protect__protecting,allow__allowing,prevent__preventing,create__creating,attend__attending,consider__considering,,
consider__considering,believe__believing,consider__considering,manage__managing,create__creating,maintain__maintaining,enjoy__enjoying,,
reduce__reducing,tell__telling,reduce__reducing,enhance__enhancing,add__adding,promote__promoting,create__creating,,
achieve__achieving,enjoy__enjoying,achieve__achieving,provide__providing,create__creating,improve__improving,discover__discovering,,
provide__providing,promote__promoting,provide__providing,achieve__achieving,listen__listening,create__creating,tell__telling,,
remain__remaining,represent__representing,remain__remaining,exist__existing,appear__appearing,happen__happening,remember__remembering,,
require__requiring,achieve__achieving,require__requiring,allow__allowing,ensure__ensuring,refer__referring,prevent__preventing,,
follow__following,identify__identifying,follow__following,believe__believing,listen__listening,continue__continuing,tell__telling,,
add__adding,encourage__encouraging,add__adding,invent__inventing,create__creating,generate__generating,reduce__reducing,,
include__including,ask__asking,include__including,allow__allowing,involve__involving,prevent__preventing,contain__containing,,
encourage__encouraging,involve__involving,encourage__encouraging,involve__involving,enhance__enhancing,protect__protecting,teach__teaching,1,0.921692073
appear__appearing,remember__remembering,appear__appearing,happen__happening,exist__existing,remain__remaining,seem__seeming,,
lose__losing,involve__involving,lose__losing,spend__spending,vanish__vanishing,receive__receiving,listen__listening,,
exist__existing,receive__receiving,exist__existing,remain__remaining,happen__happening,appear__appearing,remember__remembering,,
believe__believing,operate__operating,believe__believing,listen__listening,predict__predicting,tell__telling,follow__following,,
perform__performing,lose__losing,perform__performing,create__creating,maintain__maintaining,manage__managing,generate__generating,,
enjoy__enjoying,require__requiring,enjoy__enjoying,consider__considering,attend__attending,walk__walking,read__reading,,
operate__operating,identify__identifying,operate__operating,invent__inventing,add__adding,perform__performing,implement__implementing,,
remember__remembering,believe__believing,remember__remembering,learn__learning,discover__discovering,create__creating,listen__listening,,
apply__applying,ask__asking,apply__applying,teach__teaching,tell__telling,manage__managing,promote__promoting,,
ensure__ensuring,achieve__achieving,ensure__ensuring,establish__establishing,describe__describing,require__requiring,involve__involving,,
refer__referring,follow__following,refer__referring,represent__representing,implement__implementing,require__requiring,add__adding,,
improve__improving,maintain__maintaining,improve__improving,achieve__achieving,enhance__enhancing,develop__developing,increase__increasing,,
